job_id,job_title,location,work_mode,tech_stack,salary,key_responsibilities
JOB-10001,Junior Software Engineer,"London, UK",Remote,"Go, gRPC, Docker, GCP",,"Write clean, tested, and maintainable code; Optimize performance and reliability; Build and maintain scalable applications"
JOB-10002,Principal Platform Engineer,"New York, NY, USA",Remote,"Python, Django, PostgreSQL, AWS","$140,000-$160,000",Review pull requests and mentor team members; Collaborate with product and design teams; Design and implement APIs and services
JOB-10003,Principal Full Stack Engineer,"Sydney, Australia",Onsite,"Vue.js, Node.js, MongoDB","$140,000-$160,000",Participate in architecture discussions; Collaborate with product and design teams; Review pull requests and mentor team members
JOB-10004,Junior Node.js Developer,"San Francisco, CA, USA",Onsite,"C#, .NET, Azure, SQL Server","$140,000-$180,000","Optimize performance and reliability; Write clean, tested, and maintainable code; Collaborate with product and design teams"
JOB-10005,Mid-Level Node.js Developer,"Berlin, Germany",Remote,"Python, Django, PostgreSQL, AWS",,"Participate in architecture discussions; Build and maintain scalable applications; Write clean, tested, and maintainable code"
JOB-10006,Junior React Developer,"São Paulo, Brazil",Onsite,"Python, Django, PostgreSQL, AWS","$100,000-$140,000",Participate in architecture discussions; Build and maintain scalable applications; Design and implement APIs and services
JOB-10007,Principal Full Stack Engineer,"Austin, TX, USA",Remote,"Go, gRPC, Docker, GCP","$100,000-$140,000",Design and implement APIs and services; Build and maintain scalable applications; Collaborate with product and design teams
JOB-10008,Senior QA Automation Engineer,"Sydney, Australia",Hybrid,"Java, Spring Boot, Kafka, Kubernetes","$60,000-$110,000","Optimize performance and reliability; Write clean, tested, and maintainable code; Collaborate with product and design teams"
JOB-10009,Senior React Developer,"Sydney, Australia",Onsite,"Python, Django, PostgreSQL, AWS",,"Write clean, tested, and maintainable code; Design and implement APIs and services; Optimize performance and reliability"
JOB-10010,Staff Platform Engineer,"London, UK",Onsite,"Vue.js, Node.js, MongoDB","$80,000-$110,000","Review pull requests and mentor team members; Optimize performance and reliability; Write clean, tested, and maintainable code"
JOB-10011,Junior Node.js Developer,"Berlin, Germany",Hybrid,"React Native, TypeScript, Firebase","$60,000-$90,000",Collaborate with product and design teams; Monitor production systems and resolve issues; Design and implement APIs and services
JOB-10012,Staff Platform Engineer,"Sydney, Australia",Hybrid,"Java, Spring Boot, Kafka, Kubernetes","$100,000-$130,000",Design and implement APIs and services; Collaborate with product and design teams; Participate in architecture discussions
JOB-10013,Principal Data Engineer,"London, UK",Onsite,"Rust, PostgreSQL, AWS",,Participate in architecture discussions; Design and implement APIs and services; Review pull requests and mentor team members
JOB-10014,Mid-Level Data Engineer,"São Paulo, Brazil",Remote,"React, TypeScript, Node.js, PostgreSQL","$100,000-$130,000",Collaborate with product and design teams; Monitor production systems and resolve issues; Optimize performance and reliability
JOB-10015,Principal Frontend Engineer,"Lisbon, Portugal",Hybrid,"Rust, PostgreSQL, AWS","$80,000-$130,000","Monitor production systems and resolve issues; Design and implement APIs and services; Write clean, tested, and maintainable code"
JOB-10016,Junior Site Reliability Engineer,Remote - Americas,Hybrid,"Next.js, Tailwind CSS, GraphQL","$140,000-$160,000","Collaborate with product and design teams; Write clean, tested, and maintainable code; Review pull requests and mentor team members"
JOB-10017,Mid-Level QA Automation Engineer,"New York, NY, USA",Onsite,"React Native, TypeScript, Firebase",,"Write clean, tested, and maintainable code; Design and implement APIs and services; Build and maintain scalable applications"
JOB-10018,Mid-Level DevOps Engineer,"San Francisco, CA, USA",Onsite,"Vue.js, Node.js, MongoDB","$100,000-$130,000","Build and maintain scalable applications; Design and implement APIs and services; Write clean, tested, and maintainable code"
JOB-10019,Junior Cloud Engineer,"Berlin, Germany",Hybrid,"Go, gRPC, Docker, GCP","$120,000-$140,000",Build and maintain scalable applications; Collaborate with product and design teams; Design and implement APIs and services
JOB-10020,Staff Python Developer,"Austin, TX, USA",Onsite,"Java, Spring Boot, Kafka, Kubernetes","$60,000-$80,000","Write clean, tested, and maintainable code; Optimize performance and reliability; Review pull requests and mentor team members"
JOB-10021,Principal Backend Engineer,"London, UK",Onsite,"Rust, PostgreSQL, AWS",,Participate in architecture discussions; Collaborate with product and design teams; Design and implement APIs and services
JOB-10022,Staff Site Reliability Engineer,"Sydney, Australia",Hybrid,"Python, FastAPI, Redis, Docker","$80,000-$120,000",Monitor production systems and resolve issues; Build and maintain scalable applications; Collaborate with product and design teams
JOB-10023,Senior Software Engineer,Remote - Global,Onsite,"Go, gRPC, Docker, GCP","$80,000-$100,000",Review pull requests and mentor team members; Build and maintain scalable applications; Participate in architecture discussions
JOB-10024,Junior Cloud Engineer,"New York, NY, USA",Hybrid,"Python, Django, PostgreSQL, AWS","$60,000-$90,000","Review pull requests and mentor team members; Write clean, tested, and maintainable code; Optimize performance and reliability"
JOB-10025,Staff Full Stack Engineer,Remote - Americas,Remote,"Rust, PostgreSQL, AWS",,Monitor production systems and resolve issues; Collaborate with product and design teams; Review pull requests and mentor team members
JOB-10026,Junior Frontend Engineer,"Sydney, Australia",Hybrid,"Next.js, Tailwind CSS, GraphQL","$120,000-$150,000",Participate in architecture discussions; Review pull requests and mentor team members; Monitor production systems and resolve issues
JOB-10027,Junior Platform Engineer,"Berlin, Germany",Remote,"Go, gRPC, Docker, GCP","$60,000-$80,000",Review pull requests and mentor team members; Collaborate with product and design teams; Design and implement APIs and services
JOB-10028,Staff Backend Engineer,"London, UK",Hybrid,"Go, gRPC, Docker, GCP","$120,000-$150,000",Collaborate with product and design teams; Review pull requests and mentor team members; Design and implement APIs and services
JOB-10029,Junior Software Engineer,"Sydney, Australia",Onsite,"React, TypeScript, Node.js, PostgreSQL",,Collaborate with product and design teams; Participate in architecture discussions; Monitor production systems and resolve issues
JOB-10030,Staff QA Automation Engineer,"Toronto, ON, Canada",Hybrid,"React, TypeScript, Node.js, PostgreSQL","$80,000-$130,000","Write clean, tested, and maintainable code; Review pull requests and mentor team members; Build and maintain scalable applications"
JOB-10031,Staff Mobile Engineer,"Lisbon, Portugal",Onsite,"Vue.js, Node.js, MongoDB","$120,000-$160,000",Monitor production systems and resolve issues; Collaborate with product and design teams; Participate in architecture discussions
JOB-10032,Junior Machine Learning Engineer,Remote - Americas,Remote,"Next.js, Tailwind CSS, GraphQL","$100,000-$130,000",Build and maintain scalable applications; Monitor production systems and resolve issues; Design and implement APIs and services
JOB-10033,Staff Data Engineer,Remote - Americas,Remote,"React, TypeScript, Node.js, PostgreSQL",,Collaborate with product and design teams; Participate in architecture discussions; Monitor production systems and resolve issues
JOB-10034,Mid-Level Platform Engineer,"Austin, TX, USA",Onsite,"Go, gRPC, Docker, GCP","$60,000-$80,000",Build and maintain scalable applications; Design and implement APIs and services; Monitor production systems and resolve issues
JOB-10035,Senior Full Stack Engineer,"Sydney, Australia",Onsite,"Next.js, Tailwind CSS, GraphQL","$120,000-$160,000","Review pull requests and mentor team members; Write clean, tested, and maintainable code; Monitor production systems and resolve issues"
JOB-10036,Staff DevOps Engineer,"Austin, TX, USA",Remote,"Python, FastAPI, Redis, Docker","$80,000-$120,000",Collaborate with product and design teams; Build and maintain scalable applications; Design and implement APIs and services
JOB-10037,Mid-Level Data Engineer,"London, UK",Remote,"Next.js, Tailwind CSS, GraphQL",,"Collaborate with product and design teams; Monitor production systems and resolve issues; Write clean, tested, and maintainable code"
JOB-10038,Staff Python Developer,Remote - Americas,Onsite,"React Native, TypeScript, Firebase","$100,000-$130,000",Build and maintain scalable applications; Optimize performance and reliability; Design and implement APIs and services
JOB-10039,Mid-Level Mobile Engineer,"Austin, TX, USA",Remote,"Vue.js, Node.js, MongoDB","$100,000-$120,000","Write clean, tested, and maintainable code; Monitor production systems and resolve issues; Participate in architecture discussions"
JOB-10040,Senior Full Stack Engineer,"Sydney, Australia",Onsite,"React Native, TypeScript, Firebase","$140,000-$170,000","Monitor production systems and resolve issues; Write clean, tested, and maintainable code; Build and maintain scalable applications"
JOB-10041,Junior Site Reliability Engineer,"Lisbon, Portugal",Hybrid,"React, TypeScript, Node.js, PostgreSQL",,"Build and maintain scalable applications; Write clean, tested, and maintainable code; Collaborate with product and design teams"
JOB-10042,Staff Data Engineer,"Lisbon, Portugal",Onsite,"React, TypeScript, Node.js, PostgreSQL","$100,000-$130,000",Collaborate with product and design teams; Build and maintain scalable applications; Optimize performance and reliability
JOB-10043,Senior Machine Learning Engineer,Remote - Americas,Remote,"C#, .NET, Azure, SQL Server","$80,000-$100,000","Write clean, tested, and maintainable code; Build and maintain scalable applications; Monitor production systems and resolve issues"
JOB-10044,Senior Full Stack Engineer,"Sydney, Australia",Remote,"Python, Django, PostgreSQL, AWS","$100,000-$120,000",Optimize performance and reliability; Participate in architecture discussions; Design and implement APIs and services
JOB-10045,Staff Machine Learning Engineer,"San Francisco, CA, USA",Remote,"Java, Spring Boot, Kafka, Kubernetes",,"Write clean, tested, and maintainable code; Review pull requests and mentor team members; Build and maintain scalable applications"
JOB-10046,Staff Node.js Developer,"Sydney, Australia",Onsite,"Go, gRPC, Docker, GCP","$80,000-$120,000",Design and implement APIs and services; Collaborate with product and design teams; Optimize performance and reliability
JOB-10047,Junior Python Developer,"São Paulo, Brazil",Remote,"Go, gRPC, Docker, GCP","$60,000-$110,000","Monitor production systems and resolve issues; Write clean, tested, and maintainable code; Participate in architecture discussions"
JOB-10048,Junior Site Reliability Engineer,"Toronto, ON, Canada",Hybrid,"Next.js, Tailwind CSS, GraphQL","$80,000-$110,000",Design and implement APIs and services; Participate in architecture discussions; Build and maintain scalable applications
JOB-10049,Senior DevOps Engineer,"Sydney, Australia",Onsite,"C#, .NET, Azure, SQL Server",,Optimize performance and reliability; Build and maintain scalable applications; Participate in architecture discussions
JOB-10050,Principal Mobile Engineer,"New York, NY, USA",Remote,"Rust, PostgreSQL, AWS","$100,000-$130,000","Participate in architecture discussions; Write clean, tested, and maintainable code; Optimize performance and reliability"
JOB-10051,Principal Data Engineer,"Austin, TX, USA",Hybrid,"Rust, PostgreSQL, AWS","$100,000-$150,000","Review pull requests and mentor team members; Write clean, tested, and maintainable code; Build and maintain scalable applications"
JOB-10052,Principal Cloud Engineer,Remote - Americas,Onsite,"Go, gRPC, Docker, GCP","$120,000-$140,000",Optimize performance and reliability; Review pull requests and mentor team members; Build and maintain scalable applications
JOB-10053,Senior Machine Learning Engineer,"Berlin, Germany",Onsite,"Python, Django, PostgreSQL, AWS",,"Design and implement APIs and services; Monitor production systems and resolve issues; Write clean, tested, and maintainable code"
JOB-10054,Staff React Developer,"London, UK",Onsite,"Java, Spring Boot, Kafka, Kubernetes","$120,000-$160,000",Review pull requests and mentor team members; Monitor production systems and resolve issues; Optimize performance and reliability
JOB-10055,Principal Machine Learning Engineer,"London, UK",Hybrid,"Vue.js, Node.js, MongoDB","$120,000-$150,000","Build and maintain scalable applications; Write clean, tested, and maintainable code; Participate in architecture discussions"
JOB-10056,Principal Machine Learning Engineer,"Sydney, Australia",Hybrid,"Python, FastAPI, Redis, Docker","$80,000-$130,000",Monitor production systems and resolve issues; Review pull requests and mentor team members; Optimize performance and reliability
JOB-10057,Mid-Level Data Engineer,"São Paulo, Brazil",Onsite,"Java, Spring Boot, Kafka, Kubernetes",,"Collaborate with product and design teams; Write clean, tested, and maintainable code; Design and implement APIs and services"
JOB-10058,Junior Python Developer,"Toronto, ON, Canada",Onsite,"React Native, TypeScript, Firebase","$140,000-$180,000",Review pull requests and mentor team members; Participate in architecture discussions; Collaborate with product and design teams
JOB-10059,Junior Full Stack Engineer,"São Paulo, Brazil",Onsite,"Python, Django, PostgreSQL, AWS","$80,000-$100,000",Monitor production systems and resolve issues; Review pull requests and mentor team members; Optimize performance and reliability
JOB-10060,Staff QA Automation Engineer,"Lisbon, Portugal",Remote,"Java, Spring Boot, Kafka, Kubernetes","$140,000-$170,000",Build and maintain scalable applications; Participate in architecture discussions; Monitor production systems and resolve issues
JOB-10061,Staff Full Stack Engineer,"San Francisco, CA, USA",Onsite,"Vue.js, Node.js, MongoDB",,Monitor production systems and resolve issues; Build and maintain scalable applications; Design and implement APIs and services
JOB-10062,Staff Backend Engineer,"São Paulo, Brazil",Onsite,"Vue.js, Node.js, MongoDB","$80,000-$100,000",Optimize performance and reliability; Participate in architecture discussions; Review pull requests and mentor team members
JOB-10063,Principal QA Automation Engineer,"San Francisco, CA, USA",Onsite,"Python, FastAPI, Redis, Docker","$140,000-$190,000","Monitor production systems and resolve issues; Write clean, tested, and maintainable code; Collaborate with product and design teams"
JOB-10064,Mid-Level Mobile Engineer,"São Paulo, Brazil",Remote,"React Native, TypeScript, Firebase","$100,000-$150,000","Review pull requests and mentor team members; Write clean, tested, and maintainable code; Participate in architecture discussions"
JOB-10065,Senior Cloud Engineer,Remote - Americas,Remote,"Java, Spring Boot, Kafka, Kubernetes",,"Write clean, tested, and maintainable code; Collaborate with product and design teams; Review pull requests and mentor team members"
JOB-10066,Junior Platform Engineer,"Lisbon, Portugal",Hybrid,"Vue.js, Node.js, MongoDB","$80,000-$110,000",Monitor production systems and resolve issues; Review pull requests and mentor team members; Build and maintain scalable applications
JOB-10067,Staff Cloud Engineer,Remote - Global,Onsite,"React, TypeScript, Node.js, PostgreSQL","$80,000-$130,000",Participate in architecture discussions; Review pull requests and mentor team members; Build and maintain scalable applications
JOB-10068,Staff Python Developer,"Lisbon, Portugal",Onsite,"Vue.js, Node.js, MongoDB","$100,000-$140,000",Review pull requests and mentor team members; Monitor production systems and resolve issues; Collaborate with product and design teams
JOB-10069,Senior Platform Engineer,"São Paulo, Brazil",Remote,"C#, .NET, Azure, SQL Server",,Optimize performance and reliability; Monitor production systems and resolve issues; Participate in architecture discussions
JOB-10070,Staff Cloud Engineer,"San Francisco, CA, USA",Onsite,"Vue.js, Node.js, MongoDB","$120,000-$150,000",Build and maintain scalable applications; Review pull requests and mentor team members; Design and implement APIs and services
JOB-10071,Junior Site Reliability Engineer,"Lisbon, Portugal",Remote,"Python, FastAPI, Redis, Docker","$140,000-$160,000","Write clean, tested, and maintainable code; Build and maintain scalable applications; Monitor production systems and resolve issues"
JOB-10072,Mid-Level QA Automation Engineer,"Berlin, Germany",Hybrid,"C#, .NET, Azure, SQL Server","$120,000-$160,000",Design and implement APIs and services; Participate in architecture discussions; Review pull requests and mentor team members
JOB-10073,Senior Python Developer,"Austin, TX, USA",Hybrid,"React, TypeScript, Node.js, PostgreSQL",,"Build and maintain scalable applications; Write clean, tested, and maintainable code; Collaborate with product and design teams"
JOB-10074,Junior Full Stack Engineer,"Toronto, ON, Canada",Remote,"Rust, PostgreSQL, AWS","$60,000-$80,000","Write clean, tested, and maintainable code; Collaborate with product and design teams; Participate in architecture discussions"
JOB-10075,Principal Full Stack Engineer,"São Paulo, Brazil",Onsite,"React Native, TypeScript, Firebase","$120,000-$140,000",Optimize performance and reliability; Collaborate with product and design teams; Design and implement APIs and services
JOB-10076,Mid-Level Mobile Engineer,"Austin, TX, USA",Onsite,"React, TypeScript, Node.js, PostgreSQL","$140,000-$160,000",Design and implement APIs and services; Monitor production systems and resolve issues; Optimize performance and reliability
JOB-10077,Staff Platform Engineer,"Toronto, ON, Canada",Remote,"Rust, PostgreSQL, AWS",,Review pull requests and mentor team members; Build and maintain scalable applications; Optimize performance and reliability
JOB-10078,Principal Node.js Developer,"New York, NY, USA",Hybrid,"Vue.js, Node.js, MongoDB","$100,000-$120,000","Participate in architecture discussions; Optimize performance and reliability; Write clean, tested, and maintainable code"
JOB-10079,Junior Python Developer,"Lisbon, Portugal",Hybrid,"Python, Django, PostgreSQL, AWS","$60,000-$100,000","Participate in architecture discussions; Write clean, tested, and maintainable code; Optimize performance and reliability"
JOB-10080,Staff Backend Engineer,Remote - Americas,Onsite,"React Native, TypeScript, Firebase","$120,000-$150,000",Monitor production systems and resolve issues; Review pull requests and mentor team members; Participate in architecture discussions
JOB-10081,Principal Mobile Engineer,"Berlin, Germany",Remote,"Python, Django, PostgreSQL, AWS",,Design and implement APIs and services; Review pull requests and mentor team members; Collaborate with product and design teams
JOB-10082,Senior Software Engineer,"São Paulo, Brazil",Hybrid,"Java, Spring Boot, Kafka, Kubernetes","$120,000-$170,000","Monitor production systems and resolve issues; Collaborate with product and design teams; Write clean, tested, and maintainable code"
JOB-10083,Senior Cloud Engineer,Remote - Global,Onsite,"React Native, TypeScript, Firebase","$100,000-$140,000",Build and maintain scalable applications; Design and implement APIs and services; Collaborate with product and design teams
JOB-10084,Staff QA Automation Engineer,Remote - Americas,Remote,"Python, FastAPI, Redis, Docker","$60,000-$90,000",Monitor production systems and resolve issues; Review pull requests and mentor team members; Build and maintain scalable applications
JOB-10085,Junior Mobile Engineer,"Toronto, ON, Canada",Hybrid,"Go, gRPC, Docker, GCP",,Design and implement APIs and services; Optimize performance and reliability; Monitor production systems and resolve issues
JOB-10086,Principal Data Engineer,"Berlin, Germany",Hybrid,"Vue.js, Node.js, MongoDB","$100,000-$150,000","Optimize performance and reliability; Write clean, tested, and maintainable code; Monitor production systems and resolve issues"
JOB-10087,Senior Mobile Engineer,"Toronto, ON, Canada",Remote,"Go, gRPC, Docker, GCP","$120,000-$160,000",Optimize performance and reliability; Build and maintain scalable applications; Monitor production systems and resolve issues
JOB-10088,Mid-Level Full Stack Engineer,"São Paulo, Brazil",Hybrid,"Rust, PostgreSQL, AWS","$140,000-$170,000",Design and implement APIs and services; Build and maintain scalable applications; Collaborate with product and design teams
JOB-10089,Senior Full Stack Engineer,"Berlin, Germany",Remote,"React Native, TypeScript, Firebase",,Build and maintain scalable applications; Optimize performance and reliability; Design and implement APIs and services
JOB-10090,Junior Software Engineer,Remote - Americas,Hybrid,"Java, Spring Boot, Kafka, Kubernetes","$80,000-$120,000",Monitor production systems and resolve issues; Build and maintain scalable applications; Participate in architecture discussions
JOB-10091,Staff QA Automation Engineer,"São Paulo, Brazil",Hybrid,"Java, Spring Boot, Kafka, Kubernetes","$140,000-$180,000","Build and maintain scalable applications; Write clean, tested, and maintainable code; Review pull requests and mentor team members"
JOB-10092,Staff QA Automation Engineer,"Austin, TX, USA",Onsite,"React, TypeScript, Node.js, PostgreSQL","$60,000-$80,000","Write clean, tested, and maintainable code; Collaborate with product and design teams; Design and implement APIs and services"
JOB-10093,Senior Frontend Engineer,"Toronto, ON, Canada",Remote,"Vue.js, Node.js, MongoDB",,Participate in architecture discussions; Design and implement APIs and services; Monitor production systems and resolve issues
JOB-10094,Principal Platform Engineer,"São Paulo, Brazil",Hybrid,"React Native, TypeScript, Firebase","$140,000-$170,000","Participate in architecture discussions; Write clean, tested, and maintainable code; Design and implement APIs and services"
JOB-10095,Principal React Developer,"Austin, TX, USA",Remote,"Go, gRPC, Docker, GCP","$140,000-$160,000",Design and implement APIs and services; Optimize performance and reliability; Build and maintain scalable applications
JOB-10096,Mid-Level Data Engineer,"Austin, TX, USA",Remote,"React, TypeScript, Node.js, PostgreSQL","$80,000-$110,000",Participate in architecture discussions; Review pull requests and mentor team members; Optimize performance and reliability
JOB-10097,Principal QA Automation Engineer,"London, UK",Remote,"Go, gRPC, Docker, GCP",,"Design and implement APIs and services; Optimize performance and reliability; Write clean, tested, and maintainable code"
JOB-10098,Mid-Level Cloud Engineer,"London, UK",Onsite,"Rust, PostgreSQL, AWS","$120,000-$140,000",Review pull requests and mentor team members; Monitor production systems and resolve issues; Build and maintain scalable applications
JOB-10099,Mid-Level Cloud Engineer,"London, UK",Remote,"Python, Django, PostgreSQL, AWS","$140,000-$170,000","Build and maintain scalable applications; Collaborate with product and design teams; Write clean, tested, and maintainable code"
JOB-10100,Staff Frontend Engineer,"São Paulo, Brazil",Onsite,"React Native, TypeScript, Firebase","$140,000-$180,000","Participate in architecture discussions; Write clean, tested, and maintainable code; Design and implement APIs and services"
JOB-10101,Principal QA Automation Engineer,"São Paulo, Brazil",Remote,"Rust, PostgreSQL, AWS",,Build and maintain scalable applications; Review pull requests and mentor team members; Optimize performance and reliability
JOB-10102,Junior Frontend Engineer,"Toronto, ON, Canada",Onsite,"Rust, PostgreSQL, AWS","$100,000-$140,000",Build and maintain scalable applications; Participate in architecture discussions; Optimize performance and reliability
JOB-10103,Mid-Level QA Automation Engineer,Remote - Americas,Onsite,"Python, FastAPI, Redis, Docker","$100,000-$120,000",Design and implement APIs and services; Collaborate with product and design teams; Monitor production systems and resolve issues
JOB-10104,Junior QA Automation Engineer,"Berlin, Germany",Hybrid,"Next.js, Tailwind CSS, GraphQL","$120,000-$170,000",Optimize performance and reliability; Monitor production systems and resolve issues; Build and maintain scalable applications
JOB-10105,Mid-Level DevOps Engineer,"Lisbon, Portugal",Onsite,"Python, FastAPI, Redis, Docker",,Design and implement APIs and services; Optimize performance and reliability; Review pull requests and mentor team members
JOB-10106,Staff Frontend Engineer,"Berlin, Germany",Hybrid,"Next.js, Tailwind CSS, GraphQL","$140,000-$160,000",Collaborate with product and design teams; Participate in architecture discussions; Review pull requests and mentor team members
JOB-10107,Principal QA Automation Engineer,"Lisbon, Portugal",Remote,"Go, gRPC, Docker, GCP","$140,000-$160,000",Optimize performance and reliability; Design and implement APIs and services; Review pull requests and mentor team members
JOB-10108,Mid-Level Mobile Engineer,Remote - Americas,Remote,"React Native, TypeScript, Firebase","$120,000-$140,000",Monitor production systems and resolve issues; Optimize performance and reliability; Review pull requests and mentor team members
JOB-10109,Junior Software Engineer,"Sydney, Australia",Onsite,"Go, gRPC, Docker, GCP",,"Write clean, tested, and maintainable code; Monitor production systems and resolve issues; Design and implement APIs and services"
